BrandCode,BrandDesc,BrandVariant,AdvParentCode,AdvSubsidCode,PCCSubCode,ProductID,AdvParentDesc,kw_label,PCCSubDesc
1151536,HORIZON CHRISTIAN FELLOWSHIP RELIGIOUS ORGN,HORIZON CHRISTIAN FELLOWSHIP RELIGIOUS ORGN,772366,772366,B189,1238,HORIZON CHRISTIAN FELLOWSHIP,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
1793279,NEW HORIZONS MEDICAL SVCS,NEW HORIZONS MEDICAL SVCS,1167632,1167632,D249,961,NEW HORIZONS-AW,horizon,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
367934,LANSKYS RESTAURANT,LANSKYS RESTAURANT,363438,363438,G330,1253,HORIZON RESTAURANTS INC,horizon,"RESTAURANTS, HOTEL DINING & NIGHTCLUBS"
760510,FTB ADVISORS FINANCIAL-INVESTMENT SVCS,FTB ADVISORS FINANCIAL-INVESTMENT SVCS,1034732,753308,B152,2125,FIRST HORIZON NATL CORP,horizon,BROKERAGE SVCS
515364,BILLY BOBS BEDS STORE-BEDS-BEDDING,BILLY BOBS BEDS STORE-BEDS-BEDDING,921534,504909,G714,2059,HORIZON MERCHANT INC,horizon,HOUSEHOLD FURNISHINGS & APPLIANCE STORES
1938548,HORIZONS CHARITABLE ORGN,HORIZONS CHARITABLE ORGN,1234915,1234915,B189,267,HORIZONS A FAMILY SVC ALLIANCE-CW,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
2225733,NEW HORIZON CHRISTIAN FAITH CHURCH RELIGIOUS CTR,NEW HORIZON CHRISTIAN FAITH CHURCH RELIGIOUS CTR,1359997,1359997,B189,2796,NEW HORIZON CHRISTIAN FAITH CHURCH,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
2225735,NEW HORIZON HALL OF ELEGANCE BANQUET FACILITY,NEW HORIZON HALL OF ELEGANCE BANQUET FACILITY,1360144,1360144,G330,110,NEW HORIZON HALL OF ELEGANCE,horizon,"RESTAURANTS, HOTEL DINING & NIGHTCLUBS"
2609203,NEW HORIZON CHRISTIAN FAITH OUTREACH CTR RELIGIOUS CTR,NEW HORIZON CHRISTIAN FAITH OUTREACH CTR RELIGIOUS CTR,1540110,1540110,B189,2796,NEW HORIZON CHRISTIAN FTH OTRCH CTR,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
2725113,HORIZON TRAVEL TRAVEL SVCS,HORIZON TRAVEL TRAVEL SVCS,1589201,1589201,T420,1767,HORIZON TRAVEL LLC-DL,horizon,TRAVEL SERVICES & TOURS
1493346,DISTANT HORIZON INTERNET SVCS,DISTANT HORIZON INTERNET SVCS,1018764,1018764,B143,2129,DISTANT HORIZON INC,horizon,DATA COMMUNICATIONS NETWORKS
2844454,UNIVERSAL HORIZONTAL PLUMBING SUPLS,UNIVERSAL HORIZONTAL PLUMBING SUPLS PIPE DRILL,1650092,1650092,H521,1153,UNIVERSAL HORIZONTAL,horizon,"PLUMBING & SANIT EQUIP, FIXTRS & SYSTEMS"
2239225,HORIZON WASTE WASTE DISPOSAL SVCS,HORIZON WASTE WASTE DISPOSAL SVCS,1363032,1363032,B119,1832,HORIZON WASTE LLC,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
2730689,NEW HORIZONS CLINICAL RESEARCH RESEARCH CTR,NEW HORIZONS CLINICAL RESEARCH RESEARCH CTR,1589307,1589307,B119,1246,NEW HORIZONS CLINICAL RESEARCH LLC,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
1501917,NEW HORIZON CHURCH RELIGIOUS CTR,NEW HORIZON CHURCH RELIGIOUS CTR,1022788,1022788,B189,2796,NEW HORIZON CHURCH,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
1640305,HORIZONS MANUFACTURERS-GENERAL,HORIZONS MANUFACTURERS-GENERAL,1090695,1090695,B515,2035,HORIZONS INC-TP,horizon,OTR MANUF MATERIALS & SUPPLIES
1641759,HORIZON TRAVEL PLAZA GAS STATIONS,HORIZON TRAVEL PLAZA GAS STATIONS,1091682,1091682,T212,698,HORIZON TRAVEL PLAZA LLC,horizon,GASOLINE DEALRS SERVICES & PROMOTIONS
2939877,HORIZONS CLINICAL RESEARCH CTR RESEARCH CTR,HORIZONS CLINICAL RESEARCH CTR RESEARCH CTR,1690145,1690145,B119,1246,HORIZONS CLINICAL RESEARCH CTR LLC,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
960801,HORIZON ROOFING ROOFING SVCS,HORIZON ROOFING ROOFING SVCS,755256,755256,B111,1271,HORIZON ROOFING INC-RP,horizon,"CONSTRUCTION, ENGINEERING & ARCHIT SRVCS"
2516103,HORIZON LAWN CARE PDTS,HORIZON LAWN CARE PDTS,1481993,1481993,T610,888,HORIZON DISTRIBUTORS INC,horizon,"GARDEN MACHINERY, IMPLEMENTS & FIXTURES"
2516115,HORIZON DISTRIBUTORS FOOD PDTS,HORIZON DISTRIBUTORS FOOD PDTS,1482001,1482001,F190,631,HORIZON DISTRIBUTORS LTD,horizon,COMBINATION COPY FOOD/FOOD PRODUCTS/GP
2516130,HORIZON REALTY REALTORS,HORIZON REALTY REALTORS,1482011,1482011,B230,1222,HORIZON REALTY LLC,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
2516131,HORIZON RETAIL CONSTRUCTION BUILDERS,HORIZON RETAIL CONSTRUCTION BUILDERS,1482012,1482012,B111,193,HORIZON RETAIL CONSTRUCTION INC,horizon,"CONSTRUCTION, ENGINEERING & ARCHIT SRVCS"
2516138,HORIZONTAL TECHNOLOGY MACHINERY,HORIZONTAL TECHNOLOGY MACHINERY,1798739,1798739,B520,931,HORIZONTAL TECHNOLOGY INC,horizon,"INDUSTRIAL MACHINERY, INSTRUMENTS, ELEC COMP"
1180153,HORIZONS THEATRE CO THEATRICAL CO,HORIZONS THEATRE CO THEATRICAL CO,859575,859575,G321,1717,HORIZON THEATRE CO,horizon,"DANCE, THEATER, CONCERTS, OPERA"
1512604,NEW HORIZONS CTR FOR COSMETIC SURGERY PLASTIC SURGERY SVCS,NEW HORIZONS CTR FOR COSMETIC SURGERY PLASTIC SURGERY SVCS,1028045,1028045,D249,1978,NEW HORIZONS CTR FOR CSMTC SRGRY SC,horizon,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
2484151,ARTECH HOUSE PUBLISHERS,ARTECH HOUSE PUBLISHERS,1373541,1458203,B420,1193,HORIZON HOUSE PUBLICATIONS INC,horizon,"MAGAZINES, NEWSPAPERS, MISC MEDIA"
398769,HORIZON HOUSE ASSISTED LIVING FACILITY,HORIZON HOUSE ASSISTED LIVING FACILITY,391671,391671,D249,2853,HORIZON HOUSE INC-ST,horizon,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
