BrandCode,BrandDesc,BrandVariant,AdvParentCode,AdvSubsidCode,PCCSubCode,ProductID,AdvParentDesc,kw_label,PCCSubDesc
986795,NEW HORIZON CREDIT SVCS,NEW HORIZON CREDIT SVCS,766298,766298,B159,412,NEW HORIZON CRDT CNSLNG SVCS INC-MF,horizon,MISC FINANCIAL INST. SERVICES & PRODUCTS
1533425,PROVENA HEALTH HOSPITAL,PROVENA HEALTH HOSPITAL,2121587,2121587,D249,801,PRESENCE HEALTH NETWORK,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
988897,BLUE CROSS & BLUE SHIELD INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD INSURANCE-HEALTH FEDERAL EMPLOYEE PROGRAM,10593,10593,B212,2910,BLUE CROSS & BLUE SHIELD ASSN,bcbs,MEDICAL & DENTAL INSURANCE
288866,LIBERTY HEALTH MEDICAL SVCS,LIBERTY HEALTH MEDICAL SVCS,43091,288857,D249,961,UNITEDHEALTH GROUP INC,unitedhealth,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
288921,OMNICARE INSURANCE-HEALTH,OMNICARE INSURANCE-HEALTH,1359687,2511246,B212,2910,CVS HEALTH CORP,cvs,MEDICAL & DENTAL INSURANCE
292197,LEHIGH VALLEY HEALTH NETWORK HOSPITAL,LEHIGH VALLEY HEALTH NETWORK HOSPITAL,163180,163180,D249,801,LEHIGH VALLEY HEALTH NETWORK INC,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
2382694,HEALTHSPRING SPONSORED EXHIBITION,HEALTHSPRING SPONSORED EXHIBITION,11323,958431,G329,548,CIGNA CORP,cigna,MISC ENTERTAINMENT & COMBINATION COPY
1372083,MOLINA HEALTHCARE INSURANCE-HEALTH,MOLINA HEALTHCARE INSURANCE-HEALTH,214748,214748,B212,2910,MOLINA HEALTHCARE INC,molina,MEDICAL & DENTAL INSURANCE
1372455,BLUE CROSS & BLUE SHIELD SOUTH CAROLINA INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD SOUTH CAROLINA INSURANCE-HEALTH,958314,958314,B212,2910,BLUE CROSS & BLUE SHIELD SOUTH CRLN,bcbs,MEDICAL & DENTAL INSURANCE
2384723,CVS/CAREMARK CORP CORP-GEN,CVS/CAREMARK CORP CORP-GEN,1359687,1359687,B170,392,CVS HEALTH CORP,cvs,MISC CORPORATE ADVERTISING (NOT ELSE CLASS)
588889,LEON MEDICAL CTRS MEDICAL SVCS,LEON MEDICAL CTRS MEDICAL SVCS,11323,2245867,D249,961,CIGNA CORP,cigna,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
1373112,BLUE CROSS & BLUE SHIELD OF NORTH CAROLN INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF NORTH CAROLN INSURANCE-HEALTH BLUE ADVANTAGE,957451,957451,B212,2910,BLUE CROSS & BLUE SHIELD NORTH CRLN,bcbs,MEDICAL & DENTAL INSURANCE
1373477,ANTHEM BLUE CROSS & BLUE SHIELD OF VIRGN INSURANCE-HEALTH,ANTHEM BLUE CROSS & BLUE SHIELD OF VIRGN INSURANCE-HEALTH,2304089,957601,B212,2910,ANTHEM INC,anthem,MEDICAL & DENTAL INSURANCE
1980101,CLUB HORIZON NIGHTCLUBS,CLUB HORIZON NIGHTCLUBS,1252599,1252599,G330,1027,CLUB HORIZON INC-NY,horizon,"RESTAURANTS, HOTEL DINING & NIGHTCLUBS"
995882,AMERIGROUP INSURANCE-HEALTH,AMERIGROUP INSURANCE-HEALTH,2304089,408643,B212,2910,ANTHEM INC,anthem,MEDICAL & DENTAL INSURANCE
2384951,CAREPLUS HEALTH PLANS INSURANCE-HEALTH,CAREPLUS HEALTH PLANS INSURANCE-HEALTH MEDICARE ADVANTAGE,13054,946863,B212,2910,HUMANA INC,humana,MEDICAL & DENTAL INSURANCE
296553,HORIZON NEW YORK INST,HORIZON NEW YORK INST,296545,296545,B133,848,HORIZON NEW YORK INST OF TECHNOLOGY,horizon,"SCHOOLS & CAMPS, SEMINARS"
436396,HUDSON HEADWATERS HEALTH NETWORK MEDICAL SVCS,HUDSON HEADWATERS HEALTH NETWORK MEDICAL SVCS,429531,429531,D249,961,HUDSON HEADWATERS HEALTH NETWORK,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
1001054,PINNERS FINE SHOES STORE-SHOES,PINNERS FINE SHOES STORE-SHOES,772921,772921,G711,1615,SHOE HORIZONS INC-JA,horizon,"APPAREL, FOOTWEAR & ACCESSORY STORES"
1685718,BLUE CROSS BLUE SHIELD OF FLORIDA SPNSRD EXHIBITION,BLUE CROSS BLUE SHIELD OF FLORIDA SPNSRD EXHIBITION,957492,957492,G329,548,BLUE CROSS & BLUE SHIELD OF FLD INC,bcbs,MISC ENTERTAINMENT & COMBINATION COPY
2389841,VANCE THOMPSON VISION OPTICAL CTR,VANCE THOMPSON VISION OPTICAL CTR,1341254,1341254,G71E,1056,SANFORD HEALTH NETWORK,healthnet,OPTICAL GOODS AND SERVICES
1538346,YOUTH HORIZONS CHARITABLE ORGN,YOUTH HORIZONS CHARITABLE ORGN,1040758,1040758,B189,267,YOUTH HORIZONS INC,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
2390332,SANFORD HEALTH HOSPITAL,SANFORD HEALTH HOSPITAL MATERNITY,1341254,1341254,D249,801,SANFORD HEALTH NETWORK,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
597382,HEALTH PLAN OF NEVADA INSURANCE-HEALTH,HEALTH PLAN OF NEVADA INSURANCE-HEALTH SENIOR DIMENSIONS,43091,585487,B212,2910,UNITEDHEALTH GROUP INC,unitedhealth,MEDICAL & DENTAL INSURANCE
1686853,HUMANA INSURANCE-HEALTH,HUMANA INSURANCE-HEALTH CHOICE PPO,13054,9050,B212,2910,HUMANA INC,humana,MEDICAL & DENTAL INSURANCE
