AdvParentCode,AdvParentDesc,kw_label
966202,BLUE CROSS & BLUE SHILD OF KNSS INC,bcbs
957307,BLUE CROSS & BLUE SHILD OF LSN FNDN,bcbs
958595,BLUE CROSS & BLUE SHLD OF RHD ISLND,bcbs
3113279,BLUE CROSS ANIMAL CLINIC PC-AL,bcbs
1029089,BLUE CROSS ARENA,bcbs
2795919,BLUE CROSS BLUE SHIELD OF TNNSS INC,bcbs
3128340,BLUE CROSS BLUE SHIELD OF WYOMING,bcbs
343750,BLUE CROSS BROAD STREET RUN,bcbs
4273456,BLUE CROSS COMPLETE OF MICHIGAN LLC,bcbs
2245421,BLUE CROSS DOG & CAT HOSPITAL INC,bcbs
84107,BLUE CROSS LABORATORIES,bcbs
2349165,BLUE CROSS LIFE INSURANCE,bcbs
957487,BLUE CROSS OF IDAHO INC,bcbs
3177623,BLUE CROSS OF INDIA,bcbs
957468,BLUE CROSS OF NORTHEASTERN PNNSYLVN,bcbs
2990995,BLUE CROSS VETERINARY CLINIC LTD-PX,bcbs
1056236,BLUE HORIZON,horizon
1983180,BLUE HORIZON DEVELOPMENT LLC,horizon
1949337,BLUE HORIZON ENTERPRISES INC,horizon
1340021,BLUE HORIZON FINANCIAL CORP,horizon
1461715,BLUE HORIZON FOODS INC,horizon
4327703,BLUE HORIZON GROUP LLC-AT,horizon
4260115,BLUE HORIZON HOME INSPECTINS LLC-CV,horizon
4295847,BLUE HORIZON INDUSTRIES-MF,horizon
2274256,BLUE HORIZON INTL LLC-NY,horizon
388843,BLUE HORIZON LANDSCAPE,horizon
3214915,BLUE HORIZON LODGE-LA,horizon
1332674,BLUE HORIZON REALTY,horizon
2909765,BLUE HORIZON RENOVATIONS CORP,horizon
1909074,BLUE HORIZON SOULAR LLC,horizon
2321277,BLUE HORIZON USA INC,horizon
1853565,BLUE HORIZON VENTURES LLC,horizon
762866,BLUE HORIZON WATER CO,horizon
1718453,BLUE HORIZONS GROUP LLC,horizon
493693,BLUE RIDGE HEALTH NETWORK,healthnet
2733888,BLUE SHIELD OF CALFN LF & HTH IC CO,bcbs_alt
826471,BLUE SHIELD OF CALIFORNIA,bcbs_alt
1624946,BLUE SHIELD SECURITY INC,bcbs_alt
