event_time,coef,placebo_dma
3,-0.8144461198989262,239
4,9.428058913628702,239
5,9.718311324347484,239
6,10.038973055092187,239
7,11.603725760886654,239
8,10.068296284795494,239
9,6.231327479503076,239
10,9.737925967048255,239
-9,-0.972657025625227,240
-8,-2.236082512100506,240
-7,-1.415305392198976,240
-6,0.3424788640160484,240
-5,0.5339348491993463,240
-4,0.6580865264615601,240
-3,-0.3607081401539566,240
-2,-1.7709187957772006,240
-1,0.0,240
0,-0.4973506844054978,240
1,0.5998081426561774,240
2,0.6152191261340236,240
3,-1.5441552000357306,240
4,-0.2698463646150585,240
5,0.12772270930278104,240
6,0.33170564895430327,240
7,0.5808771086114332,240
8,1.439723165904579,240
9,-0.5386081993370863,240
10,0.0006927105411355408,240
-9,-2.208310236613879,241
-8,1.9598194947189729,241
-7,2.473805926977585,241
-6,0.5040036167936642,241
-5,2.0883414522899018,241
-4,-0.6018187978356399,241
-3,2.1821586459250284,241
-2,-0.16398558425612147,241
-1,0.0,241
0,0.5631398128838895,241
1,1.504052766596504,241
2,1.0903365614509188,241
3,-0.5294076392225254,241
4,-0.20957472641137703,241
5,2.0651760765531892,241
6,1.622097254022126,241
7,0.4236024165357664,241
8,1.6356933242545646,241
9,2.0195153078353685,241
10,0.9914059901474576,241
-9,2.0643501521182115,242
-8,0.535391799136945,242
-7,1.0554151257172921,242
-6,2.289638070510222,242
-5,-0.5795831885025678,242
-4,-1.0806493823289764,242
-3,-4.25570701911044,242
-2,-2.480657691436739,242
-1,0.0,242
0,-0.28440537400660054,242
1,-2.503942489523315,242
2,0.4958118329540933,242
3,-0.8336364439680087,242
4,0.542670522769085,242
5,0.6317131214633738,242
6,1.8450932581267787,242
7,2.8392689857980944,242
8,1.9631079022281477,242
9,1.572661815514144,242
10,3.209706722877866,242
-9,-7.35788026167305,243
-8,-2.6293959248963876,243
-7,4.387379890773589,243
-6,6.8096658303618,243
-5,-7.698154228489169,243
-4,1.7403323015041456,243
-3,4.680284265597744,243
-2,5.204985474308609,243
-1,0.0,243
0,2.0435909040131297,243
1,4.511329919068895,243
2,5.455498105956199,243
3,-7.539047921149498,243
4,3.0354543977087753,243
5,4.7096934108032515,243
6,4.7918032673864035,243
7,3.215801545796103,243
8,1.153249001774355,243
9,4.835484582812106,243
10,6.285683830750179,243
-9,-6.301813368666399,244
-8,-7.995629715462904,244
-7,-2.473507330474975,244
-6,0.585073509485066,244
-5,2.4318816971894495,244
-4,0.9439103111427178,244
-3,-0.3806416715181228,244
-2,-0.19123095437125257,244
-1,0.0,244
0,1.967798531988889,244
1,-0.21491654285494874,244
2,3.5718345339354878,244
3,-6.482981028146913,244
4,3.2871750525442094,244
5,2.157884741386918,244
6,3.0517553464198004,244
7,4.038601758132706,244
8,3.6862877584798666,244
9,3.3691412983787403,244
10,3.3445965089519936,244
-9,6.644706897870805,247
-8,-2.327094809588482,247
-7,6.200722456307772,247
-6,5.621079472908287,247
-5,8.12095299624393,247
-4,7.989378114915126,247
-3,5.154361193310761,247
-2,7.443455297022863,247
-1,0.0,247
0,4.0092765547482285,247
1,-2.1057654412984315,247
2,9.534132749532121,247
3,10.10634144410078,247
4,-1.5843936172988247,247
5,10.330649170526538,247
6,9.636449972014455,247
7,9.63299794313321,247
8,10.238329090992993,247
9,9.395345435613015,247
10,8.216352965577714,247
-9,-1.6780443577527744,248
-8,-2.190758415311613,248
-7,-1.845224211512831,248
-6,-0.6658656914208558,248
-5,-1.4368273585433637,248
-4,-1.1142422560362826,248
-3,-1.6513713741902942,248
-2,-0.7045346655898997,248
-1,0.0,248
0,-0.44183145901574494,248
1,-1.5071303684739674,248
2,-2.0712862391972804,248
3,-0.675908674415916,248
4,-1.1927624755111688,248
5,-1.293842928970153,248
6,-1.6027857737849114,248
7,-0.8860663094017568,248
8,-1.1488127013167573,248
9,-2.272899274284258,248
10,-0.562956854617615,248
-9,-1.4079794381214985,249
-8,1.0465515978795843,249
-7,0.666876943490696,249
-6,-5.853479949203003,249
-5,-1.4316857424038085,249
-4,1.7824443993160108,249
-3,-2.145483591901036,249
-2,0.28902987717413803,249
-1,0.0,249
0,1.1757266758015767,249
1,-2.1669183445131828,249
2,-0.1910121422545895,249
3,-0.46309271700728927,249
4,2.1042703420984896,249
5,-0.7287743358693219,249
6,0.2580235351829565,249
7,-0.3667197516230284,249
8,1.9263064553266596,249
9,-0.7352153348192959,249
10,0.0968589561340791,249
-9,-0.806534857789973,250
-8,-0.7578750551620518,250
-7,1.333872601558072,250
-6,-0.419977737755926,250
-5,-0.4396820128170953,250
-4,0.6391322263153263,250
-3,1.239464371837928,250
-2,-0.5597553519502881,250
-1,0.0,250
0,1.7044983953365178,250
1,0.9777612515756707,250
2,0.7637600667802918,250
3,0.1992425833343894,250
4,1.6904421170081745,250
5,1.84906360297095,250
6,1.053481066264762,250
7,1.2240108797528901,250
8,1.4530580741030867,250
9,1.6661598404795936,250
10,1.0845540057594736,250
-9,0.6195772601080795,251
-8,-4.9839590885468095,251
-7,-1.664609032157527,251
-6,0.8135961500055031,251
-5,0.897056291114652,251
-4,-8.68407901777335,251
-3,-4.423797347554305,251
-2,-0.6272818373376771,251
-1,0.0,251
0,1.7566313124566733,251
1,-0.3852288012088227,251
2,2.0988538519269646,251
3,0.8936427655639875,251
4,1.4774754766804328,251
5,0.142375851918835,251
6,0.859563753313546,251
7,1.1052955586025424,251
8,1.1673392663158502,251
9,-0.13337671044718238,251
10,1.2503228900881704,251
-9,0.2645077551743623,252
-8,4.634353432868579,252
-7,3.5861930886954356,252
-6,2.506398788531983,252
-5,2.889281817338964,252
-4,5.52571136322592,252
-3,3.5820389154335235,252
-2,1.1208381567938077,252
-1,0.0,252
0,4.79599614325463,252
1,3.0727046137449356,252
2,3.6331774065941675,252
3,2.6499809889363273,252
4,4.802850874564667,252
5,4.419676094707555,252
6,3.7554843250266092,252
7,4.225334907206443,252
8,5.530683357544131,252
9,4.5532261881817195,252
10,3.82187946335752,252
-9,0.6960302342270034,256
-8,1.7798005032692432,256
-7,2.048380227465625,256
-6,2.598875384651752,256
